cycle,Heterozygosity
100001,0.00375227
100003,0.00367258
100005,0.00364762
100007,0.00351641
100009,0.00324883
100011,0.00327869
100013,0.0029813
100015,0.00312531
100017,0.00306903
100019,0.00309306
100021,0.00302803
100023,0.00304841
100025,0.00310117
100027,0.00320932
100029,0.00319595
100031,0.00323702
100033,0.00313628
100035,0.00308061
100037,0.00309111
100039,0.00309221
100041,0.00316054
100043,0.00319777
100045,0.00320294
100047,0.00326106
100049,0.00323887
100051,0.00325519
100053,0.0031912
100055,0.00319117
100057,0.00319036
100059,0.00320639
100061,0.00324323
100063,0.00321962
100065,0.00318573
100067,0.00314202
100069,0.00316722
100071,0.00320367
100073,0.00319475
100075,0.00316614
100077,0.00313174
100079,0.00310159
100081,0.00309901
100083,0.00311144
100085,0.0031311
100087,0.00310915
100089,0.0031286
100091,0.0031002
100093,0.00314074
100095,0.00315013
100097,0.00310129
100099,0.00312455
