cycle,Heterozygosity
100001,0.00358545
100003,0.00347618
100005,0.00320184
100007,0.00283354
100009,0.00285662
100011,0.00270312
100013,0.00264766
100015,0.00281217
100017,0.00277967
100019,0.00269113
100021,0.00238878
100023,0.0026893
100025,0.00257882
100027,0.00277082
100029,0.00273911
100031,0.00277171
100033,0.00273441
100035,0.00266907
100037,0.00274988
100039,0.00269163
100041,0.00262634
100043,0.00268669
100045,0.0026995
100047,0.0026794
100049,0.00267168
100051,0.00273402
100053,0.00275452
100055,0.00275825
100057,0.0027661
100059,0.00273508
100061,0.0027445
100063,0.00270726
100065,0.00270463
100067,0.00267555
100069,0.00268432
100071,0.00266164
100073,0.00271137
100075,0.0027441
100077,0.00269982
100079,0.00269657
100081,0.00268426
100083,0.00272258
100085,0.00269318
100087,0.00267546
100089,0.00272689
100091,0.0026579
100093,0.00266367
100095,0.00266845
100097,0.00270188
100099,0.0026209
