cycle,Heterozygosity
100001,0.00382218
100003,0.00334108
100005,0.00323206
100007,0.00326887
100009,0.00331971
100011,0.0032425
100013,0.00309294
100015,0.00315889
100017,0.00324153
100019,0.00326209
100021,0.00317948
100023,0.00307344
100025,0.00323684
100027,0.00322682
100029,0.00316364
100031,0.00313812
100033,0.00316389
100035,0.00315467
100037,0.00317348
100039,0.00318486
100041,0.00319921
100043,0.00317843
100045,0.00315095
100047,0.0031219
100049,0.00308444
100051,0.00311691
100053,0.00307141
100055,0.00312628
100057,0.00313284
100059,0.00313127
100061,0.0031078
100063,0.00308728
100065,0.00311878
100067,0.00312253
100069,0.0030962
100071,0.00309301
100073,0.00311073
100075,0.00308095
100077,0.00305375
100079,0.00306534
100081,0.00305863
100083,0.0030761
100085,0.00305977
100087,0.00308866
100089,0.00310046
100091,0.00308158
100093,0.00309518
100095,0.00305657
100097,0.0030446
100099,0.00308581
