cycle,Heterozygosity
100001,0.00380747
100021,0.00255596
100041,0.0022549
100061,0.00230845
100081,0.00229894
100101,0.00222039
100121,0.00222946
100141,0.00219199
100161,0.0021277
100181,0.00195276
100201,0.00197205
100221,0.00192885
100241,0.00194982
100261,0.00198384
100281,0.00202072
100301,0.00193833
100321,0.00191714
100341,0.00194729
100361,0.00186655
100381,0.00189051
100401,0.00170612
100421,0.00167715
100441,0.00153321
100461,0.00128581
100481,0.00121582
100501,0.00125428
100521,0.0014038
100541,0.00136026
100561,0.00149585
100581,0.00153069
100601,0.00160604
100621,0.00162174
100641,0.00154843
100661,0.00160329
100681,0.00147416
100701,0.00144223
100721,0.00146379
100741,0.00126804
100761,0.0013929
100781,0.00148913
100801,0.00141796
100821,0.00147672
100841,0.00143224
100861,0.00148632
100881,0.00139677
100901,0.00138299
100921,0.0013803
100941,0.0013489
100961,0.00133287
100981,0.00143596
