cycle,Heterozygosity
100001,0.00356438
100021,5.47255e-06
100041,6.70154e-06
100061,1.05569e-05
100081,1.41252e-05
100101,1.67154e-05
100121,1.74776e-05
100141,1.9379e-05
100161,2.6202e-05
100181,2.73307e-05
100201,2.53309e-05
100221,2.96895e-05
100241,3.28123e-05
100261,3.50236e-05
100281,3.51012e-05
100301,3.65283e-05
100321,3.64882e-05
100341,3.33291e-05
100361,4.18478e-05
100381,5.03444e-05
100401,5.08525e-05
100421,4.97161e-05
100441,5.27872e-05
100461,6.14987e-05
100481,6.37148e-05
100501,6.39954e-05
100521,6.29725e-05
100541,6.52368e-05
100561,6.64236e-05
100581,7.30745e-05
100601,7.81249e-05
100621,7.67484e-05
100641,8.90358e-05
100661,8.15776e-05
100681,7.46381e-05
100701,7.92536e-05
100721,8.19625e-05
100741,8.56475e-05
100761,8.66049e-05
100781,9.17947e-05
100801,9.80878e-05
100821,0.000100967
100841,9.98755e-05
100861,0.000102221
100881,0.000105544
100901,0.000110518
100921,0.000120926
100941,0.000135093
100961,0.000127558
100981,0.000134184
