cycle,Heterozygosity
100001,0.00370822
100021,0.00279472
100041,0.00282356
100061,0.00287233
100081,0.00278432
100101,0.00281067
100121,0.00273051
100141,0.00263014
100161,0.0026514
100181,0.00272617
100201,0.00262462
100221,0.00271623
100241,0.0028635
100261,0.00287012
100281,0.00297986
100301,0.00302867
100321,0.0030242
100341,0.00302009
100361,0.0030114
100381,0.00298773
100401,0.00292976
100421,0.00289771
100441,0.00288466
100461,0.00281778
100481,0.00270472
100501,0.00264642
100521,0.0026316
100541,0.00255551
100561,0.0024368
100581,0.00246199
100601,0.00239341
100621,0.0023339
100641,0.00222928
100661,0.00225865
100681,0.0021319
100701,0.00200957
100721,0.00209977
100741,0.00217068
100761,0.00205147
100781,0.00215693
100801,0.00215266
100821,0.00229201
100841,0.00219382
100861,0.0021685
100881,0.00218222
100901,0.00214238
100921,0.0021241
100941,0.00205533
100961,0.00204092
100981,0.00205531
