cycle,Heterozygosity
100001,0.003806
100006,0.00296377
100011,0.0027877
100016,0.00275651
100021,0.00273826
100026,0.00279035
100031,0.00271732
100036,0.00263289
100041,0.0026876
100046,0.00269397
100051,0.00265604
100056,0.0026691
100061,0.00264853
100066,0.00264615
100071,0.00267718
100076,0.00269483
100081,0.00268706
100086,0.00268804
100091,0.00270097
100096,0.002736
100101,0.00271174
100106,0.00268986
100111,0.00263298
100116,0.0026483
100121,0.00263663
100126,0.0026232
100131,0.00263591
100136,0.00260921
100141,0.00263113
100146,0.00261758
100151,0.00258493
100156,0.00256675
100161,0.00257317
100166,0.00256577
100171,0.00256982
100176,0.00258773
100181,0.00262205
100186,0.00259435
100191,0.00260711
100196,0.00261082
100201,0.00262049
100206,0.00259311
100211,0.00260579
100216,0.00260424
100221,0.0025288
100226,0.00252896
100231,0.00253282
100236,0.00252091
100241,0.00251534
100246,0.00249609
100251,0.0024716
100256,0.00249728
100261,0.00247602
100266,0.00255565
100271,0.00256781
100276,0.00257003
100281,0.00251361
100286,0.00249288
100291,0.0024736
100296,0.0024936
100301,0.00251308
100306,0.00248721
100311,0.00249741
100316,0.0024431
100321,0.00244766
100326,0.00246927
100331,0.00249387
100336,0.00251058
100341,0.00251736
100346,0.00250489
100351,0.00250608
100356,0.00250437
100361,0.00253491
100366,0.00250212
100371,0.00247268
100376,0.00248202
100381,0.00245864
100386,0.00242086
100391,0.00235145
100396,0.00236742
100401,0.00233298
100406,0.00233361
100411,0.00233139
100416,0.00238144
100421,0.00237139
100426,0.00237309
100431,0.00240358
100436,0.00236394
100441,0.00237897
100446,0.00235291
100451,0.00231858
100456,0.00227958
100461,0.00229248
100466,0.00231692
100471,0.00228659
100476,0.00230072
100481,0.00225122
100486,0.00225867
100491,0.00224739
100496,0.00223991
100501,0.00224817
100506,0.00227176
100511,0.00224272
100516,0.00229906
100521,0.00228423
100526,0.00229413
100531,0.00230607
100536,0.00229174
100541,0.00233616
100546,0.00227702
100551,0.00224789
100556,0.00228085
100561,0.00224918
100566,0.00226496
100571,0.00219582
100576,0.00222618
100581,0.00224965
100586,0.00227532
100591,0.0021913
100596,0.00217719
100601,0.00216372
100606,0.00214154
100611,0.00212069
100616,0.00214485
100621,0.00208059
100626,0.00208787
100631,0.00205957
100636,0.00202873
100641,0.00202591
100646,0.00205261
100651,0.002046
100656,0.00205614
100661,0.00205336
100666,0.00209812
100671,0.0021414
100676,0.00210489
100681,0.00212513
100686,0.00214617
100691,0.00213081
100696,0.00210221
100701,0.00202167
100706,0.00207379
100711,0.00212008
100716,0.00212386
100721,0.00215135
100726,0.00216605
100731,0.00222398
100736,0.00219825
100741,0.00216812
100746,0.00224526
100751,0.00218139
100756,0.00218744
100761,0.00206214
100766,0.00197073
100771,0.00194424
100776,0.00195317
100781,0.00197116
100786,0.00199419
100791,0.00198987
100796,0.00196929
100801,0.00194471
100806,0.00193319
100811,0.00187067
100816,0.00188114
100821,0.00191833
100826,0.00192397
100831,0.0020134
100836,0.00206601
100841,0.00207545
100846,0.00205091
100851,0.00201184
100856,0.00193855
100861,0.00192608
100866,0.00184704
100871,0.00181591
100876,0.00173648
100881,0.00171447
100886,0.00171695
100891,0.00176954
100896,0.00179912
100901,0.00175008
100906,0.00179618
100911,0.00184555
100916,0.0018766
100921,0.00181054
100926,0.00172783
100931,0.00168504
100936,0.00157624
100941,0.00170307
100946,0.00170026
100951,0.00173506
100956,0.00166333
100961,0.00154935
100966,0.00149718
100971,0.00145626
100976,0.00150548
100981,0.00149098
100986,0.00153233
100991,0.00155019
100996,0.00162363
