cycle,Heterozygosity
100001,0.00365277
100006,0.00290563
100011,0.00221088
100016,0.00154833
100021,0.00224013
100026,0.00235747
100031,0.00256401
100036,0.00264774
100041,0.00247241
100046,0.00249025
100051,0.00247777
100056,0.00249747
100061,0.0024787
100066,0.00224906
100071,0.00228289
100076,0.00212868
100081,0.00208049
100086,0.00177419
100091,0.00195965
100096,0.00198229
100101,0.00214356
100106,0.00227559
100111,0.00196238
100116,0.00172105
100121,0.00182715
100126,0.00150632
100131,0.00158326
100136,0.001706
100141,0.00176451
100146,0.00134324
100151,0.00129489
100156,0.00108331
100161,0.00123212
100166,0.00148055
100171,0.00153142
100176,0.00169942
100181,0.00189636
100186,0.00162924
100191,0.00191218
100196,0.002036
100201,0.00205677
100206,0.00198617
100211,0.00187411
100216,0.00172974
100221,0.00179073
100226,0.00184317
100231,0.00186753
100236,0.00178878
100241,0.0015924
100246,0.00152622
100251,0.00170746
100256,0.00172155
100261,0.00162625
100266,0.00166287
100271,0.00172675
100276,0.00181352
100281,0.00182527
100286,0.00184947
100291,0.00182016
100296,0.0017253
100301,0.00170998
100306,0.00150071
100311,0.00129237
100316,0.00139562
100321,0.00151149
100326,0.00163929
100331,0.00177448
100336,0.00195103
100341,0.00201864
100346,0.0018781
100351,0.00168071
100356,0.00171567
100361,0.00183144
100366,0.00183107
100371,0.00157058
100376,0.00144335
100381,0.00135906
100386,0.00153951
100391,0.00153339
100396,0.00156555
100401,0.00174647
100406,0.00178992
100411,0.00179785
100416,0.00185723
100421,0.00185191
100426,0.00187486
100431,0.00186423
100436,0.00183721
100441,0.00183139
100446,0.00184656
100451,0.00180177
100456,0.00172371
100461,0.00164594
100466,0.0016849
100471,0.0016129
100476,0.00159831
100481,0.0016319
100486,0.00159017
100491,0.00149125
100496,0.00124392
100501,0.00135826
100506,0.00132455
100511,0.00134621
100516,0.00121524
100521,0.00120226
100526,0.00098874
100531,0.00123627
100536,0.00117902
100541,0.0012624
100546,0.00132754
100551,0.00117993
100556,0.00125464
100561,0.00130433
100566,0.00144411
100571,0.00142037
100576,0.00127417
100581,0.00133385
100586,0.00129024
100591,0.0013575
100596,0.00132495
100601,0.00135105
100606,0.00131402
100611,0.00134984
100616,0.00118745
100621,0.0011236
100626,0.00114099
100631,0.00121684
100636,0.00118149
100641,0.00114367
100646,0.00134753
100651,0.00128375
100656,0.00123133
100661,0.00106368
100666,0.00112097
100671,0.00118257
100676,0.0012961
100681,0.00135399
100686,0.00144662
100691,0.00150233
100696,0.0017027
100701,0.00166945
100706,0.00167911
100711,0.00166091
100716,0.00142779
100721,0.00131532
100726,0.00137566
100731,0.00131381
100736,0.00124481
100741,0.00128418
100746,0.00126114
100751,0.00119201
100756,0.00128403
100761,0.00119236
100766,0.00120431
100771,0.00123425
100776,0.00145521
100781,0.00139312
100786,0.00127189
100791,0.0013526
100796,0.00116198
100801,0.000944227
100806,0.000729966
100811,0.000820403
100816,0.000740768
100821,0.000608091
100826,0.000525078
100831,0.000452521
100836,0.000476673
100841,0.000568568
100846,0.000647124
100851,0.000732615
100856,0.000579688
100861,0.000586555
100866,0.0005309
100871,0.000614055
100876,0.000520472
100881,0.000515484
100886,0.000552468
100891,0.000640062
100896,0.000673527
100901,0.000832153
100906,0.000874316
100911,0.000880315
100916,0.00083498
100921,0.000714991
100926,0.000627952
100931,0.000685024
100936,0.000710889
100941,0.000784575
100946,0.000705357
100951,0.00073016
100956,0.000758913
100961,0.000685988
100966,0.00074517
100971,0.000808846
100976,0.000902202
100981,0.000940671
100986,0.000837726
100991,0.000940418
100996,0.000866757
