cycle,Heterozygosity
100001,0.00379453
100006,0.0034224
100011,0.00296887
100016,0.0029693
100021,0.00291417
100026,0.00283163
100031,0.00283893
100036,0.00274133
100041,0.0026783
100046,0.00265225
100051,0.00263382
100056,0.00257104
100061,0.00268976
100066,0.00260672
100071,0.00258149
100076,0.00253737
100081,0.00246716
100086,0.00249681
100091,0.00254057
100096,0.00252777
100101,0.00258419
100106,0.0025505
100111,0.0024836
100116,0.00241327
100121,0.00241095
100126,0.00242258
100131,0.00234697
100136,0.00237993
100141,0.00241406
100146,0.00237911
100151,0.00241918
100156,0.0023388
100161,0.00224066
100166,0.00223828
100171,0.00230863
100176,0.00235084
100181,0.00241393
100186,0.00239728
100191,0.0024486
100196,0.00246297
100201,0.00240287
100206,0.00235199
100211,0.00232996
100216,0.00230894
100221,0.00233586
100226,0.00235073
100231,0.00228856
100236,0.0023852
100241,0.00238467
100246,0.00236451
100251,0.00232209
100256,0.00228769
100261,0.00231629
100266,0.0023515
100271,0.00235232
100276,0.00231148
100281,0.00223778
100286,0.00216806
100291,0.00226267
100296,0.00225217
100301,0.00227673
100306,0.00230152
100311,0.00229359
100316,0.00225447
100321,0.00224779
100326,0.00230979
100331,0.00232738
100336,0.00223768
100341,0.0022224
100346,0.00218164
100351,0.00219286
100356,0.00212665
100361,0.00209851
100366,0.00212267
100371,0.00208022
100376,0.0020617
100381,0.00203807
100386,0.0019835
100391,0.0018951
100396,0.00188459
100401,0.00182421
100406,0.00181123
100411,0.00185575
100416,0.00187476
100421,0.00177687
100426,0.00177657
100431,0.00178344
100436,0.0017785
100441,0.00178277
100446,0.00176208
100451,0.00174991
100456,0.00172112
100461,0.0016705
100466,0.00161083
100471,0.0016381
100476,0.00155506
100481,0.00154972
100486,0.00157221
100491,0.00154192
100496,0.00152004
100501,0.00158867
100506,0.00159503
100511,0.0015597
100516,0.00154118
100521,0.00154757
100526,0.00156259
100531,0.00155954
100536,0.00161498
100541,0.00161193
100546,0.00157205
100551,0.00158315
100556,0.00161539
100561,0.00162114
100566,0.00161869
100571,0.00163285
100576,0.00161731
100581,0.00163139
100586,0.00162831
100591,0.00165366
100596,0.00161146
100601,0.00159362
100606,0.00156819
100611,0.00156604
100616,0.00154821
100621,0.00153949
100626,0.00156852
100631,0.0015575
100636,0.00155804
100641,0.0015486
100646,0.0015667
100651,0.00152424
100656,0.00152072
100661,0.00154303
100666,0.00151188
100671,0.00156515
100676,0.00151184
100681,0.00145085
100686,0.00148063
100691,0.00154876
100696,0.00155214
100701,0.00158534
100706,0.00154834
100711,0.00158866
100716,0.00158703
100721,0.00159672
100726,0.00160629
100731,0.00156316
100736,0.00151298
100741,0.00153639
100746,0.00149468
100751,0.0014641
100756,0.00140907
100761,0.00140089
100766,0.0013523
100771,0.00135707
100776,0.00132987
100781,0.00131716
100786,0.00129329
100791,0.0012481
100796,0.0012302
100801,0.00123299
100806,0.0012751
100811,0.00126275
100816,0.00122568
100821,0.00122693
100826,0.001224
100831,0.00126838
100836,0.00124704
100841,0.00117831
100846,0.00120065
100851,0.00124347
100856,0.00123283
100861,0.00126667
100866,0.00123811
100871,0.00119312
100876,0.00116865
100881,0.00119333
100886,0.0012191
100891,0.00122027
100896,0.00123873
100901,0.00124256
100906,0.00125212
100911,0.00121971
100916,0.00123571
100921,0.00121173
100926,0.0012039
100931,0.00123174
100936,0.00122199
100941,0.00123471
100946,0.00122597
100951,0.0012994
100956,0.00131291
100961,0.00131103
100966,0.00131972
100971,0.00125801
100976,0.00129637
100981,0.00128095
100986,0.00125191
100991,0.00126882
100996,0.00131834
