cycle,Heterozygosity
100001,0.00378562
100002,0.00371333
100003,0.00352893
100004,0.0034427
100005,0.00296337
100006,0.0026261
100007,0.00232049
100008,0.00255586
100009,0.0025821
100010,0.00232283
100011,0.00241992
100012,0.00255274
100013,0.00251522
100014,0.00255842
100015,0.00259892
100016,0.00245843
100017,0.00240754
100018,0.00238863
100019,0.00236489
100020,0.00229034
100021,0.00235405
100022,0.00231504
100023,0.00227195
100024,0.00233451
100025,0.00235706
100026,0.00233724
100027,0.00234547
100028,0.00235292
100029,0.00235303
100030,0.00235594
100031,0.00234463
100032,0.00234151
100033,0.00234705
100034,0.00232747
100035,0.00231113
100036,0.00219117
100037,0.00217889
100038,0.00186455
100039,0.00175636
100040,0.00185903
100041,0.00139432
100042,0.00072176
100043,0.000414733
100044,0.000202168
100045,9.34414e-05
100046,1.4375e-06
100047,2.13843e-06
100048,1.97049e-06
100049,2.44856e-06
100050,2.45556e-06
100051,2.19467e-06
100052,2.01607e-06
100053,2.43605e-06
100054,3.36011e-06
100055,2.85659e-06
100056,3.13635e-06
100057,4.07258e-06
100058,3.22841e-06
100059,3.89308e-06
100060,3.00208e-06
100061,4.20395e-06
100062,4.35484e-06
100063,4.02836e-06
100064,4.42638e-06
100065,5.15349e-06
100066,5.77003e-06
100067,6.08221e-06
100068,6.33715e-06
100069,7.02003e-06
100070,6.75989e-06
100071,7.70421e-06
100072,7.82388e-06
100073,8.31165e-06
100074,8.81113e-06
100075,9.42768e-06
100076,1.06972e-05
100077,1.26951e-05
100078,1.33884e-05
100079,1.50937e-05
100080,1.3858e-05
100081,1.31126e-05
100082,1.29396e-05
100083,1.21774e-05
100084,1.25924e-05
100085,1.48075e-05
100086,1.53135e-05
100087,1.41298e-05
100088,1.30996e-05
100089,1.22763e-05
100090,1.3564e-05
100091,1.36342e-05
100092,1.42937e-05
100093,1.45486e-05
100094,1.55827e-05
100095,1.51613e-05
100096,1.43913e-05
100097,1.56165e-05
100098,1.49454e-05
100099,1.43067e-05
100100,1.34521e-05
100101,1.16493e-05
100102,1.3789e-05
100103,1.42144e-05
100104,1.4563e-05
100105,1.41181e-05
100106,1.5969e-05
100107,1.43861e-05
100108,1.40075e-05
100109,1.4442e-05
100110,1.26379e-05
100111,1.33169e-05
100112,1.26743e-05
100113,1.30255e-05
100114,1.21566e-05
100115,1.19589e-05
100116,1.28122e-05
100117,1.35185e-05
100118,1.36772e-05
100119,1.2392e-05
100120,1.24714e-05
100121,1.24675e-05
100122,1.3313e-05
100123,1.30489e-05
100124,1.20695e-05
100125,1.25221e-05
100126,1.23114e-05
100127,1.28005e-05
100128,1.1328e-05
100129,1.08897e-05
100130,1.21007e-05
100131,1.20786e-05
100132,1.23257e-05
100133,1.21319e-05
100134,1.16792e-05
100135,1.032e-05
100136,1.07245e-05
100137,1.06348e-05
100138,1.05151e-05
100139,1.00117e-05
