cycle,Heterozygosity
100001,0.00374152
100002,0.00358585
100003,0.00337805
100004,0.00319336
100005,0.0030808
100006,0.00296199
100007,0.00272336
100008,0.00271293
100009,0.00286006
100010,0.00278422
100011,0.00292135
100012,0.00305448
100013,0.00305533
100014,0.00303502
100015,0.00301351
100016,0.00304383
100017,0.00293342
100018,0.00292433
100019,0.00283657
100020,0.00293463
100021,0.00282676
100022,0.0028358
100023,0.00293149
100024,0.00285494
100025,0.00288386
100026,0.00280207
100027,0.00272812
100028,0.00264842
100029,0.00265313
100030,0.00265031
100031,0.00264218
100032,0.00264246
100033,0.00251379
100034,0.00266625
100035,0.00267668
100036,0.00286734
100037,0.00286623
100038,0.0027111
100039,0.00264136
100040,0.00209333
100041,0.00244059
100042,0.00206972
100043,0.00158022
100044,0.00217219
100045,0.00249008
100046,0.00273939
100047,0.00263635
100048,0.00270009
100049,0.0023925
100050,0.00230112
100051,0.00241823
100052,0.00240345
100053,0.00251248
100054,0.00251977
100055,0.00253709
100056,0.00237206
100057,0.00236458
100058,0.00264966
100059,0.00252316
100060,0.00227441
100061,0.00181629
100062,0.00165788
100063,0.001743
100064,0.00169765
100065,0.00182986
100066,0.00176684
100067,0.001902
100068,0.00174767
100069,0.00160848
100070,0.00148474
100071,0.00121151
100072,0.000721489
100073,0.000586064
100074,0.000681152
100075,0.000942378
100076,0.000739142
100077,0.000678561
100078,0.000542224
100079,0.000749674
100080,0.000808236
100081,0.000747121
100082,0.00100009
100083,0.000863093
100084,0.00104663
100085,0.000599416
100086,0.000536203
100087,0.000239275
100088,0.000457228
100089,0.000658799
100090,0.000585375
100091,0.000364897
100092,0.000439248
100093,0.000579558
100094,0.000430336
100095,0.000553345
100096,0.00055317
100097,0.000326204
100098,0.000178321
100099,0.0001781
100100,0.000124104
100101,6.90036e-05
100102,1.26418e-05
100103,1.31087e-05
100104,1.33208e-05
100105,1.31946e-05
100106,1.23868e-05
100107,1.33299e-05
100108,1.32193e-05
100109,1.24714e-05
100110,1.13645e-05
100111,1.1704e-05
100112,1.10705e-05
100113,1.15687e-05
100114,1.17768e-05
100115,1.11004e-05
100116,1.10705e-05
100117,1.03109e-05
100118,9.48881e-06
100119,9.66311e-06
100120,1.06113e-05
100121,1.06712e-05
100122,9.91155e-06
100123,9.60588e-06
100124,9.37045e-06
100125,9.30801e-06
100126,1.07479e-05
100127,1.12565e-05
100128,1.10952e-05
100129,1.13202e-05
100130,1.09573e-05
100131,1.17352e-05
100132,1.21969e-05
100133,1.05294e-05
100134,1.02966e-05
100135,1.04383e-05
100136,1.06191e-05
100137,1.05749e-05
100138,1.09768e-05
100139,1.18861e-05
