cycle,Heterozygosity
100001,0.00374216
100003,0.00331975
100005,0.00331783
100007,0.00285357
100009,0.00246798
100011,0.00221634
100013,0.00241266
100015,0.00225088
100017,0.00230342
100019,0.00232906
100021,0.0021663
100023,0.0021589
100025,0.00222545
100027,0.00214774
100029,0.00228819
100031,0.00233976
100033,0.00234775
100035,0.00238951
100037,0.00236322
100039,0.00239122
100041,0.00246031
100043,0.0024308
100045,0.00244438
100047,0.0024653
100049,0.00240878
100051,0.0023986
100053,0.00239533
100055,0.00245745
100057,0.00248484
100059,0.0024655
100061,0.00238169
100063,0.00240054
100065,0.00237679
100067,0.00236499
100069,0.00233848
100071,0.00234268
100073,0.00234239
100075,0.00238671
100077,0.00239066
100079,0.00238455
100081,0.00234625
100083,0.00233235
100085,0.00231275
100087,0.0023193
100089,0.00233908
100091,0.00232565
100093,0.00230149
100095,0.00233677
100097,0.00224868
100099,0.00227909
