cycle,Heterozygosity
100001,0.00353675
100003,0.00295161
100005,0.00231918
100007,0.00193536
100009,0.00248236
100011,0.00239267
100013,0.00223502
100015,0.00268916
100017,0.00252263
100019,0.00266338
100021,0.00255966
100023,0.0022543
100025,0.00228534
100027,0.00211407
100029,0.00211339
100031,0.00231461
100033,0.00226763
100035,0.00223227
100037,0.00232023
100039,0.00230559
100041,0.00222432
100043,0.00240763
100045,0.00243953
100047,0.00241184
100049,0.00243075
100051,0.00232946
100053,0.00225769
100055,0.00219312
100057,0.00217114
100059,0.0020118
100061,0.00213613
100063,0.00220484
100065,0.00234969
100067,0.00223494
100069,0.00222879
100071,0.00233835
100073,0.00238432
100075,0.00232178
100077,0.0022726
100079,0.00231717
100081,0.00225472
100083,0.0023385
100085,0.0023443
100087,0.00219959
100089,0.0021458
100091,0.00198746
100093,0.00199853
100095,0.00193113
100097,0.00188622
100099,0.00190308
