cycle,Heterozygosity
100001,0.00359792
100003,0.00343273
100005,0.00276025
100007,0.00293121
100009,0.00270073
100011,0.00286895
100013,0.00294135
100015,0.00289442
100017,0.00286407
100019,0.00278993
100021,0.00282656
100023,0.00279938
100025,0.00276566
100027,0.00282527
100029,0.00280389
100031,0.00280999
100033,0.00280114
100035,0.00281921
100037,0.00284209
100039,0.00285265
100041,0.00287455
100043,0.00285517
100045,0.00286204
100047,0.00287443
100049,0.00288631
100051,0.00288089
100053,0.00287948
100055,0.00286371
100057,0.00287349
100059,0.00287762
100061,0.00288206
100063,0.0028893
100065,0.00288467
100067,0.00288373
100069,0.00288511
100071,0.00285315
100073,0.00286533
100075,0.00284727
100077,0.00283796
100079,0.00283211
100081,0.00282381
100083,0.0028396
100085,0.00286172
100087,0.0028639
100089,0.00285049
100091,0.0028466
100093,0.00288416
100095,0.00288505
100097,0.00288535
100099,0.00288364
