cycle,Heterozygosity
100001,0.0037408
100021,0.00299708
100041,0.00276632
100061,0.00263086
100081,0.00261606
100101,0.00251038
100121,0.0024087
100141,0.00263354
100161,0.00253557
100181,0.0025638
100201,0.00229151
100221,0.00227061
100241,0.00201005
100261,0.0018888
100281,0.00176416
100301,0.00166288
100321,0.00174533
100341,0.00174611
100361,0.00159625
100381,0.00133042
100401,0.00133634
100421,0.00143459
100441,0.00134778
100461,0.00149071
100481,0.00149866
100501,0.00147311
100521,0.00144663
100541,0.00133498
100561,0.0014302
100581,0.00134708
100601,0.00134294
100621,0.00133032
100641,0.00136314
100661,0.00133244
100681,0.00140828
100701,0.0015463
100721,0.0014768
100741,0.00148559
100761,0.00143235
100781,0.00135135
100801,0.00125538
100821,0.00108692
100841,0.00107408
100861,0.00119888
100881,0.00125243
100901,0.00113621
100921,0.00110554
100941,0.00106247
100961,0.00107118
100981,0.00107048
