cycle,Heterozygosity
100001,0.00369237
100021,0.00276774
100041,0.00224121
100061,0.00191676
100081,0.00138053
100101,0.000583901
100121,0.00114265
100141,0.00136878
100161,0.00124438
100181,0.00137119
100201,0.00105525
100221,0.00106542
100241,0.00142828
100261,0.0011516
100281,0.00161063
100301,0.00174218
100321,0.00180911
100341,0.00187193
100361,0.00160792
100381,0.00144632
100401,0.00157949
100421,0.00165999
100441,0.0017517
100461,0.00165217
100481,0.00143699
100501,0.00138914
100521,0.0015491
100541,0.00159809
100561,0.00102959
100581,0.0009065
100601,0.000679988
100621,0.000699055
100641,0.000864568
100661,0.000957375
100681,0.00111493
100701,0.00111742
100721,0.00110793
100741,0.00111034
100761,0.00104207
100781,0.00101077
100801,0.00101255
100821,0.00102193
100841,0.0011172
100861,0.00106427
100881,0.00108773
100901,0.000990621
100921,0.000978507
100941,0.000827401
100961,0.00104802
100981,0.001006
