cycle,Heterozygosity
100001,0.00373178
100021,0.00296543
100041,0.00328862
100061,0.00327558
100081,0.00329746
100101,0.00337361
100121,0.00330718
100141,0.00329034
100161,0.00335631
100181,0.00341321
100201,0.00346888
100221,0.00344951
100241,0.00347077
100261,0.00342821
100281,0.00335847
100301,0.00330234
100321,0.00323889
100341,0.00319913
100361,0.0031553
100381,0.0031544
100401,0.00308618
100421,0.00299439
100441,0.00291109
100461,0.00279745
100481,0.00274426
100501,0.0029031
100521,0.00285479
100541,0.00284367
100561,0.00271556
100581,0.0026346
100601,0.00242379
100621,0.00257518
100641,0.00259501
100661,0.00254194
100681,0.00243478
100701,0.00252272
100721,0.00254111
100741,0.00252084
100761,0.00254404
100781,0.00251557
100801,0.00245184
100821,0.00248555
100841,0.00249184
100861,0.00246617
100881,0.00232728
100901,0.00223812
100921,0.00225008
100941,0.00219728
100961,0.00234488
100981,0.00234263
