cycle,Heterozygosity
100001,0.00352137
100021,9.96261e-05
100041,3.7285e-06
100061,6.47705e-06
100081,5.95644e-06
100101,8.85359e-06
100121,8.215e-06
100141,1.65929e-05
100161,1.59914e-05
100181,1.56733e-05
100201,1.88186e-05
100221,3.04323e-05
100241,2.93563e-05
100261,3.29833e-05
100281,3.2394e-05
100301,3.40201e-05
100321,3.79527e-05
100341,3.27564e-05
100361,3.40935e-05
100381,3.37246e-05
100401,3.44519e-05
100421,4.55536e-05
100441,4.859e-05
100461,4.89816e-05
100481,4.29724e-05
100501,4.84259e-05
100521,4.86626e-05
100541,5.45849e-05
100561,6.36079e-05
100581,6.0193e-05
100601,6.67172e-05
100621,7.17545e-05
100641,7.06458e-05
100661,6.85894e-05
100681,6.38362e-05
100701,5.39678e-05
100721,5.6851e-05
100741,5.83841e-05
100761,6.61743e-05
100781,7.06433e-05
100801,7.09639e-05
100821,7.31677e-05
100841,8.00946e-05
100861,7.43375e-05
100881,8.75603e-05
100901,8.47042e-05
100921,8.02321e-05
100941,8.01562e-05
100961,8.35065e-05
100981,8.98297e-05
