cycle,Heterozygosity
100001,0.00384152
100021,0.00307798
100041,0.00320422
100061,0.00304429
100081,0.00307004
100101,0.0029475
100121,0.00287321
100141,0.00252955
100161,0.00237188
100181,0.00240387
100201,0.00215738
100221,0.00207601
100241,0.00194986
100261,0.00185296
100281,0.00182807
100301,0.00195756
100321,0.00189335
100341,0.0016791
100361,0.00168611
100381,0.00175548
100401,0.00168215
100421,0.00158774
100441,0.00187656
100461,0.00157367
100481,0.00146431
100501,0.00160144
100521,0.00149591
100541,0.00144739
100561,0.00151545
100581,0.00161642
100601,0.00168689
100621,0.00173363
100641,0.00183954
100661,0.00175274
100681,0.00162243
100701,0.00157236
100721,0.00144214
100741,0.00140023
100761,0.00135253
100781,0.00134103
100801,0.0013143
100821,0.00131107
100841,0.00130582
100861,0.00142582
100881,0.00139114
100901,0.00138578
100921,0.00144783
100941,0.00147238
100961,0.00150095
100981,0.00161151
